
*, *, 1, *, *, 770, 6686592.916666667, 36
*, *, 4, *, *, 520, 7373268.065217392, 46
*, *, 4, *, *, 200, 8482263.970588235, 34
*, *, 4, *, *, 170, 6101799.6875, 32
*, *, 4, *, *, 810, 6391966.7272727275, 33
*, *, 4, *, *, 750, 7886966.214285715, 28
*, *, 4, *, *, 400, 7897047.866666666, 45
*, *, 4, *, *, 370, 8737488.357142856, 28
*, *, 4, *, *, 310, 7968554.888888889, 27
*, *, 4, *, *, 790, 7137227.682926829, 41
*, *, 4, *, *, 150, 7518223.184210527, 38
*, *, 4, *, *, 890, 7375976.307692308, 39
*, *, 4, *, *, 190, 6208417.607142857, 28
*, *, 5, *, *, 770, 6367545.205882353, 34
*, *, 5, *, *, 420, 7792658.931818182, 44
*, *, 5, *, *, 580, 7020133.625, 32
*, *, 5, *, *, 520, 9359660.75862069, 29
*, *, 5, *, *, 200, 6633824.765957447, 47
*, *, 5, *, *, 170, 7243272.818181818, 44
*, *, 5, *, *, 810, 6543422.931818182, 44
*, *, 5, *, *, 750, 8394167.322580645, 31
*, *, 5, *, *, 400, 7695896.111111111, 36
*, *, 5, *, *, 370, 8388535.952380952, 42
*, *, 5, *, *, 310, 7254553.166666667, 42
*, *, 5, *, *, 790, 8666504.057142857, 35
*, *, 5, *, *, 150, 7710348.486486486, 37
*, *, 5, *, *, 890, 7382257.5, 30
*, *, 5, *, *, 190, 8263393.652173913, 46
*, *, 6, *, *, 770, 6689511.8367346935, 49
*, *, 6, *, *, 420, 7324908.0, 47
*, *, 6, *, *, 580, 6575409.29032258, 31
*, *, 6, *, *, 520, 6040472.692307692, 39
*, *, 6, *, *, 200, 8097278.942857143, 35
*, *, 6, *, *, 170, 7543077.714285715, 42
*, *, 6, *, *, 810, 8013417.114285714, 35
*, *, 6, *, *, 750, 7503706.325, 40
*, *, 6, *, *, 400, 8095834.7450980395, 51
*, *, 6, *, *, 370, 6129476.333333333, 42
*, *, 6, *, *, 310, 6764961.3, 40
*, *, 6, *, *, 790, 6717987.470588235, 34
*, *, 6, *, *, 150, 8383011.243902439, 41
*, *, 6, *, *, 890, 6938453.742857143, 35
*, *, 6, *, *, 190, 7416631.777777778, 36
*, *, 7, *, *, 770, 8232981.29032258, 31
*, *, 7, *, *, 420, 8388751.045454545, 44
*, *, 7, *, *, 580, 8215449.595744681, 47
*, *, 7, *, *, 520, 8037670.025, 40
*, *, 7, *, *, 200, 7054054.903225807, 31
*, *, 7, *, *, 170, 7423195.674418605, 43
*, *, 7, *, *, 810, 7497538.625, 24
*, *, 7, *, *, 750, 8256779.153846154, 39
*, *, 7, *, *, 400, 6738415.302325581, 43
*, *, 7, *, *, 370, 8058219.064516129, 31
*, *, 7, *, *, 310, 6245511.25, 32
*, *, 7, *, *, 790, 7739124.760869565, 46
*, *, 7, *, *, 150, 7951911.024390244, 41
*, *, 7, *, *, 890, 8169064.0227272725, 44
*, *, 7, *, *, 190, 6457822.925, 40
*, *, 8, *, *, 770, 7510444.567567567, 37
*, *, 8, *, *, 420, 7643682.454545454, 33
*, *, 8, *, *, 580, 6585524.076923077, 39
*, *, 8, *, *, 520, 7961647.195121951, 41
*, *, 8, *, *, 200, 7499521.2, 40
*, *, 8, *, *, 170, 6216954.76744186, 43
*, *, 8, *, *, 810, 8599402.634146342, 41
*, *, 8, *, *, 750, 7352876.555555556, 36
*, *, 8, *, *, 400, 7423746.208333333, 48
*, *, 8, *, *, 370, 6948885.377777778, 45
*, *, 8, *, *, 310, 7624812.666666667, 42
*, *, 8, *, *, 790, 6493665.0, 39
*, *, 8, *, *, 150, 8593226.714285715, 35
*, *, 8, *, *, 890, 7708858.333333333, 33
*, *, 8, *, *, 190, 5538360.766666667, 30
Greater than threshold 120
*, *, 1, *, *, 770, 6686592.916666667, 36
*, *, 1, *, *, 420, 6861186.59375, 32
*, *, 1, *, *, 580, 7593341.714285715, 35
*, *, 1, *, *, 520, 6547059.371428572, 35
*, *, 1, *, *, 200, 6789608.0, 43
*, *, 1, *, *, 170, 8090435.607142857, 28
*, *, 1, *, *, 810, 6118469.090909091, 33
*, *, 1, *, *, 750, 7367780.358974359, 39
*, *, 1, *, *, 400, 7156947.129032258, 31
*, *, 1, *, *, 370, 6788982.372093023, 43
*, *, 1, *, *, 310, 6803164.523809524, 42
*, *, 1, *, *, 790, 6528770.352941177, 34
*, *, 1, *, *, 150, 6657194.1, 40
*, *, 1, *, *, 890, 7289343.069767442, 43
*, *, 1, *, *, 190, 5941913.4878048785, 41
*, *, 2, *, *, 770, 7680211.416666667, 48
*, *, 2, *, *, 420, 5670369.2, 35
*, *, 2, *, *, 580, 6874994.8, 30
*, *, 2, *, *, 520, 7882154.461538462, 26
*, *, 2, *, *, 200, 8412228.727272727, 33
*, *, 2, *, *, 170, 7871117.085106383, 47
*, *, 2, *, *, 810, 6696793.891891892, 37
*, *, 2, *, *, 750, 8143102.590909091, 44
*, *, 2, *, *, 400, 8126277.791666667, 24
*, *, 2, *, *, 370, 7409350.306122449, 49
*, *, 2, *, *, 310, 7753437.260869565, 46
*, *, 2, *, *, 790, 7489778.604651162, 43
*, *, 2, *, *, 150, 6417589.371428572, 35
*, *, 2, *, *, 890, 8268358.333333333, 36
*, *, 2, *, *, 190, 9431406.42857143, 28
*, *, 3, *, *, 770, 8316710.25, 40
*, *, 3, *, *, 420, 7371954.46875, 32
*, *, 3, *, *, 580, 8857735.255813954, 43
*, *, 3, *, *, 520, 6214023.611111111, 36
*, *, 3, *, *, 200, 7183247.285714285, 42
*, *, 3, *, *, 170, 7623591.102564103, 39
*, *, 3, *, *, 810, 6479785.833333333, 36
*, *, 3, *, *, 750, 8954234.804347826, 46
*, *, 3, *, *, 400, 7191420.828571429, 35
*, *, 3, *, *, 370, 7057912.315789473, 38
*, *, 3, *, *, 310, 8946272.24390244, 41
*, *, 3, *, *, 790, 6639300.7105263155, 38
*, *, 3, *, *, 150, 8527922.108108109, 37
*, *, 3, *, *, 890, 6363034.128205128, 39
*, *, 3, *, *, 190, 7915541.880952381, 42
*, *, 4, *, *, 770, 7640310.793103448, 29
*, *, 4, *, *, 420, 7690888.125, 40
*, *, 4, *, *, 580, 7464339.567567567, 37
*, *, 4, *, *, 520, 7373268.065217392, 46
*, *, 4, *, *, 200, 8482263.970588235, 34
*, *, 4, *, *, 170, 6101799.6875, 32
*, *, 4, *, *, 810, 6391966.7272727275, 33
*, *, 4, *, *, 750, 7886966.214285715, 28
*, *, 4, *, *, 400, 7897047.866666666, 45
*, *, 4, *, *, 370, 8737488.357142856, 28
*, *, 4, *, *, 310, 7968554.888888889, 27
*, *, 4, *, *, 790, 7137227.682926829, 41
*, *, 4, *, *, 150, 7518223.184210527, 38
*, *, 4, *, *, 890, 7375976.307692308, 39
*, *, 4, *, *, 190, 6208417.607142857, 28
*, *, 5, *, *, 770, 6367545.205882353, 34
*, *, 5, *, *, 420, 7792658.931818182, 44
*, *, 5, *, *, 580, 7020133.625, 32
*, *, 5, *, *, 520, 9359660.75862069, 29
*, *, 5, *, *, 200, 6633824.765957447, 47
*, *, 5, *, *, 170, 7243272.818181818, 44
*, *, 5, *, *, 810, 6543422.931818182, 44
*, *, 5, *, *, 750, 8394167.322580645, 31
*, *, 5, *, *, 400, 7695896.111111111, 36
*, *, 5, *, *, 370, 8388535.952380952, 42
*, *, 5, *, *, 310, 7254553.166666667, 42
*, *, 5, *, *, 790, 8666504.057142857, 35
*, *, 5, *, *, 150, 7710348.486486486, 37
*, *, 5, *, *, 890, 7382257.5, 30
*, *, 5, *, *, 190, 8263393.652173913, 46
*, *, 6, *, *, 770, 6689511.8367346935, 49
*, *, 6, *, *, 420, 7324908.0, 47
*, *, 6, *, *, 580, 6575409.29032258, 31
*, *, 6, *, *, 520, 6040472.692307692, 39
*, *, 6, *, *, 200, 8097278.942857143, 35
*, *, 6, *, *, 170, 7543077.714285715, 42
*, *, 6, *, *, 810, 8013417.114285714, 35
*, *, 6, *, *, 750, 7503706.325, 40
*, *, 6, *, *, 400, 8095834.7450980395, 51
*, *, 6, *, *, 370, 6129476.333333333, 42
*, *, 6, *, *, 310, 6764961.3, 40
*, *, 6, *, *, 790, 6717987.470588235, 34
*, *, 6, *, *, 150, 8383011.243902439, 41
*, *, 6, *, *, 890, 6938453.742857143, 35
*, *, 6, *, *, 190, 7416631.777777778, 36
*, *, 7, *, *, 770, 8232981.29032258, 31
*, *, 7, *, *, 420, 8388751.045454545, 44
*, *, 7, *, *, 580, 8215449.595744681, 47
*, *, 7, *, *, 520, 8037670.025, 40
*, *, 7, *, *, 200, 7054054.903225807, 31
*, *, 7, *, *, 170, 7423195.674418605, 43
*, *, 7, *, *, 810, 7497538.625, 24
*, *, 7, *, *, 750, 8256779.153846154, 39
*, *, 7, *, *, 400, 6738415.302325581, 43
*, *, 7, *, *, 370, 8058219.064516129, 31
*, *, 7, *, *, 310, 6245511.25, 32
*, *, 7, *, *, 790, 7739124.760869565, 46
*, *, 7, *, *, 150, 7951911.024390244, 41
*, *, 7, *, *, 890, 8169064.0227272725, 44
*, *, 7, *, *, 190, 6457822.925, 40
*, *, 8, *, *, 770, 7510444.567567567, 37
*, *, 8, *, *, 420, 7643682.454545454, 33
*, *, 8, *, *, 580, 6585524.076923077, 39
*, *, 8, *, *, 520, 7961647.195121951, 41
*, *, 8, *, *, 200, 7499521.2, 40
*, *, 8, *, *, 170, 6216954.76744186, 43
*, *, 8, *, *, 810, 8599402.634146342, 41
*, *, 8, *, *, 750, 7352876.555555556, 36
*, *, 8, *, *, 400, 7423746.208333333, 48
*, *, 8, *, *, 370, 6948885.377777778, 45
*, *, 8, *, *, 310, 7624812.666666667, 42
*, *, 8, *, *, 790, 6493665.0, 39
*, *, 8, *, *, 150, 8593226.714285715, 35
*, *, 8, *, *, 890, 7708858.333333333, 33
*, *, 8, *, *, 190, 5538360.766666667, 30
Greater than threshold 120
*, *, 1, *, *, 770, 6686592.916666667, 36
*, *, 1, *, *, 420, 6861186.59375, 32
*, *, 1, *, *, 580, 7593341.714285715, 35
*, *, 1, *, *, 520, 6547059.371428572, 35
*, *, 1, *, *, 200, 6789608.0, 43
*, *, 1, *, *, 170, 8090435.607142857, 28
*, *, 1, *, *, 810, 6118469.090909091, 33
*, *, 1, *, *, 750, 7367780.358974359, 39
*, *, 1, *, *, 400, 7156947.129032258, 31
*, *, 1, *, *, 370, 6788982.372093023, 43
*, *, 1, *, *, 310, 6803164.523809524, 42
*, *, 1, *, *, 790, 6528770.352941177, 34
*, *, 1, *, *, 150, 6657194.1, 40
*, *, 1, *, *, 890, 7289343.069767442, 43
*, *, 1, *, *, 190, 5941913.4878048785, 41
*, *, 2, *, *, 770, 7680211.416666667, 48
*, *, 2, *, *, 420, 5670369.2, 35
*, *, 2, *, *, 580, 6874994.8, 30
*, *, 2, *, *, 520, 7882154.461538462, 26
*, *, 2, *, *, 200, 8412228.727272727, 33
*, *, 2, *, *, 170, 7871117.085106383, 47
*, *, 2, *, *, 810, 6696793.891891892, 37
*, *, 2, *, *, 750, 8143102.590909091, 44
*, *, 2, *, *, 400, 8126277.791666667, 24
*, *, 2, *, *, 370, 7409350.306122449, 49
*, *, 2, *, *, 310, 7753437.260869565, 46
*, *, 2, *, *, 790, 7489778.604651162, 43
*, *, 2, *, *, 150, 6417589.371428572, 35
*, *, 2, *, *, 890, 8268358.333333333, 36
*, *, 2, *, *, 190, 9431406.42857143, 28
*, *, 3, *, *, 770, 8316710.25, 40
*, *, 3, *, *, 420, 7371954.46875, 32
*, *, 3, *, *, 580, 8857735.255813954, 43
*, *, 3, *, *, 520, 6214023.611111111, 36
*, *, 3, *, *, 200, 7183247.285714285, 42
*, *, 3, *, *, 170, 7623591.102564103, 39
*, *, 3, *, *, 810, 6479785.833333333, 36
*, *, 3, *, *, 750, 8954234.804347826, 46
*, *, 3, *, *, 400, 7191420.828571429, 35
*, *, 3, *, *, 370, 7057912.315789473, 38
*, *, 3, *, *, 310, 8946272.24390244, 41
*, *, 3, *, *, 790, 6639300.7105263155, 38
*, *, 3, *, *, 150, 8527922.108108109, 37
*, *, 3, *, *, 890, 6363034.128205128, 39
*, *, 3, *, *, 190, 7915541.880952381, 42
*, *, 4, *, *, 770, 7640310.793103448, 29
*, *, 4, *, *, 420, 7690888.125, 40
*, *, 4, *, *, 580, 7464339.567567567, 37
*, *, 4, *, *, 520, 7373268.065217392, 46
*, *, 4, *, *, 200, 8482263.970588235, 34
*, *, 4, *, *, 170, 6101799.6875, 32
*, *, 4, *, *, 810, 6391966.7272727275, 33
*, *, 4, *, *, 750, 7886966.214285715, 28
*, *, 4, *, *, 400, 7897047.866666666, 45
*, *, 4, *, *, 370, 8737488.357142856, 28
*, *, 4, *, *, 310, 7968554.888888889, 27
*, *, 4, *, *, 790, 7137227.682926829, 41
*, *, 4, *, *, 150, 7518223.184210527, 38
*, *, 4, *, *, 890, 7375976.307692308, 39
*, *, 4, *, *, 190, 6208417.607142857, 28
*, *, 5, *, *, 770, 6367545.205882353, 34
*, *, 5, *, *, 420, 7792658.931818182, 44
*, *, 5, *, *, 580, 7020133.625, 32
*, *, 5, *, *, 520, 9359660.75862069, 29
*, *, 5, *, *, 200, 6633824.765957447, 47
*, *, 5, *, *, 170, 7243272.818181818, 44
*, *, 5, *, *, 810, 6543422.931818182, 44
*, *, 5, *, *, 750, 8394167.322580645, 31
*, *, 5, *, *, 400, 7695896.111111111, 36
*, *, 5, *, *, 370, 8388535.952380952, 42
*, *, 5, *, *, 310, 7254553.166666667, 42
*, *, 5, *, *, 790, 8666504.057142857, 35
*, *, 5, *, *, 150, 7710348.486486486, 37
*, *, 5, *, *, 890, 7382257.5, 30
*, *, 5, *, *, 190, 8263393.652173913, 46
*, *, 6, *, *, 770, 6689511.8367346935, 49
*, *, 6, *, *, 420, 7324908.0, 47
*, *, 6, *, *, 580, 6575409.29032258, 31
*, *, 6, *, *, 520, 6040472.692307692, 39
*, *, 6, *, *, 200, 8097278.942857143, 35
*, *, 6, *, *, 170, 7543077.714285715, 42
*, *, 6, *, *, 810, 8013417.114285714, 35
*, *, 6, *, *, 750, 7503706.325, 40
*, *, 6, *, *, 400, 8095834.7450980395, 51
*, *, 6, *, *, 370, 6129476.333333333, 42
*, *, 6, *, *, 310, 6764961.3, 40
*, *, 6, *, *, 790, 6717987.470588235, 34
*, *, 6, *, *, 150, 8383011.243902439, 41
*, *, 6, *, *, 890, 6938453.742857143, 35
*, *, 6, *, *, 190, 7416631.777777778, 36
*, *, 7, *, *, 770, 8232981.29032258, 31
*, *, 7, *, *, 420, 8388751.045454545, 44
*, *, 7, *, *, 580, 8215449.595744681, 47
*, *, 7, *, *, 520, 8037670.025, 40
*, *, 7, *, *, 200, 7054054.903225807, 31
*, *, 7, *, *, 170, 7423195.674418605, 43
*, *, 7, *, *, 810, 7497538.625, 24
*, *, 7, *, *, 750, 8256779.153846154, 39
*, *, 7, *, *, 400, 6738415.302325581, 43
*, *, 7, *, *, 370, 8058219.064516129, 31
*, *, 7, *, *, 310, 6245511.25, 32
*, *, 7, *, *, 790, 7739124.760869565, 46
*, *, 7, *, *, 150, 7951911.024390244, 41
*, *, 7, *, *, 890, 8169064.0227272725, 44
*, *, 7, *, *, 190, 6457822.925, 40
*, *, 8, *, *, 770, 7510444.567567567, 37
*, *, 8, *, *, 420, 7643682.454545454, 33
*, *, 8, *, *, 580, 6585524.076923077, 39
*, *, 8, *, *, 520, 7961647.195121951, 41
*, *, 8, *, *, 200, 7499521.2, 40
*, *, 8, *, *, 170, 6216954.76744186, 43
*, *, 8, *, *, 810, 8599402.634146342, 41
*, *, 8, *, *, 750, 7352876.555555556, 36
*, *, 8, *, *, 400, 7423746.208333333, 48
*, *, 8, *, *, 370, 6948885.377777778, 45
*, *, 8, *, *, 310, 7624812.666666667, 42
*, *, 8, *, *, 790, 6493665.0, 39
*, *, 8, *, *, 150, 8593226.714285715, 35
*, *, 8, *, *, 890, 7708858.333333333, 33
*, *, 8, *, *, 190, 5538360.766666667, 30
Greater than threshold 120
*, *, 1, *, *, 130, 314076.625, 8
*, *, 1, *, *, 140, 318735.85714285716, 7
*, *, 1, *, *, 30, 112680.57142857143, 7
*, *, 1, *, *, 40, 141225.70588235295, 17
*, *, 1, *, *, 50, 162582.25, 12
*, *, 1, *, *, 60, 176949.35714285713, 14
*, *, 1, *, *, 70, 194343.1, 10
*, *, 1, *, *, 80, 218514.83333333334, 6
*, *, 1, *, *, 90, 244599.77777777778, 9
*, *, 1, *, *, 120, 279072.6666666667, 6
*, *, 2, *, *, 130, 329581.1538461539, 13
*, *, 2, *, *, 140, 340350.5, 14
*, *, 2, *, *, 150, 383681.29411764705, 17
*, *, 2, *, *, 160, 420279.8333333333, 12
*, *, 2, *, *, 170, 469201.28571428574, 7
*, *, 2, *, *, 180, 494746.44444444444, 9
*, *, 2, *, *, 60, 185166.875, 8
*, *, 2, *, *, 190, 477038.0, 6
*, *, 2, *, *, 70, 215745.33333333334, 9
*, *, 2, *, *, 80, 230393.33333333334, 6
*, *, 2, *, *, 90, 250191.57142857142, 14
*, *, 2, *, *, 220, 583562.2857142857, 14
*, *, 2, *, *, 100, 268474.4117647059, 17
*, *, 2, *, *, 230, 642674.7142857143, 7
*, *, 2, *, *, 110, 297397.46153846156, 13
*, *, 2, *, *, 120, 333881.09523809527, 21
*, *, 3, *, *, 130, 345395.6666666667, 9
*, *, 3, *, *, 260, 783949.0, 8
*, *, 3, *, *, 140, 398737.625, 8
*, *, 3, *, *, 150, 449084.8888888889, 9
*, *, 3, *, *, 280, 864320.6666666666, 6
*, *, 3, *, *, 160, 472018.7272727273, 11
*, *, 3, *, *, 180, 521603.64705882355, 17
*, *, 3, *, *, 190, 489878.45454545453, 11
*, *, 3, *, *, 200, 508302.125, 8
*, *, 3, *, *, 210, 587398.5, 12
*, *, 3, *, *, 340, 1110462.3333333333, 6
*, *, 3, *, *, 220, 618831.1111111111, 9
*, *, 3, *, *, 110, 336728.3333333333, 15
*, *, 3, *, *, 240, 678097.1666666666, 6
*, *, 3, *, *, 120, 349183.7, 10
*, *, 3, *, *, 250, 689680.1428571428, 7
*, *, 4, *, *, 260, 847463.0, 9
*, *, 4, *, *, 270, 921811.2857142857, 7
*, *, 4, *, *, 150, 471603.1666666667, 6
*, *, 4, *, *, 160, 471405.1666666667, 6
*, *, 4, *, *, 290, 927587.0, 16
*, *, 4, *, *, 170, 613375.1818181818, 11
*, *, 4, *, *, 300, 1035219.0, 8
*, *, 4, *, *, 180, 644038.625, 8
*, *, 4, *, *, 310, 928411.3333333334, 6
*, *, 4, *, *, 200, 618257.2857142857, 7
*, *, 4, *, *, 210, 711869.4545454546, 11
*, *, 4, *, *, 220, 652866.8, 10
*, *, 4, *, *, 350, 1138811.7142857143, 7
*, *, 4, *, *, 230, 738147.6, 10
*, *, 4, *, *, 240, 757406.3333333334, 6
*, *, 4, *, *, 370, 1178126.4285714286, 7
*, *, 5, *, *, 390, 1337504.1666666667, 6
*, *, 5, *, *, 270, 940611.7142857143, 7
*, *, 5, *, *, 280, 1054887.0, 9
*, *, 5, *, *, 290, 1008528.8333333334, 6
*, *, 5, *, *, 420, 1551939.0, 6
*, *, 5, *, *, 300, 1125444.6363636365, 11
*, *, 5, *, *, 320, 1097019.2727272727, 11
*, *, 5, *, *, 210, 741720.7777777778, 9
*, *, 5, *, *, 340, 1130226.3846153845, 13
*, *, 5, *, *, 470, 1830682.1666666667, 6
*, *, 5, *, *, 220, 708948.4285714285, 7
*, *, 5, *, *, 240, 899023.2222222222, 9
*, *, 5, *, *, 250, 923994.75, 8
*, *, 6, *, *, 460, 2388946.0, 7
*, *, 6, *, *, 220, 843038.1428571428, 7
Greater than threshold 73
*, *, 1, *, *, 770, 6686592.916666667, 36
*, *, 1, *, *, 420, 6861186.59375, 32
*, *, 1, *, *, 580, 7593341.714285715, 35
*, *, 1, *, *, 520, 6547059.371428572, 35
*, *, 1, *, *, 200, 6789608.0, 43
*, *, 1, *, *, 170, 8090435.607142857, 28
*, *, 1, *, *, 810, 6118469.090909091, 33
*, *, 1, *, *, 750, 7367780.358974359, 39
*, *, 1, *, *, 400, 7156947.129032258, 31
*, *, 1, *, *, 370, 6788982.372093023, 43
*, *, 1, *, *, 310, 6803164.523809524, 42
*, *, 1, *, *, 790, 6528770.352941177, 34
*, *, 1, *, *, 150, 6657194.1, 40
*, *, 1, *, *, 890, 7289343.069767442, 43
*, *, 1, *, *, 190, 5941913.4878048785, 41
*, *, 2, *, *, 770, 7680211.416666667, 48
*, *, 2, *, *, 420, 5670369.2, 35
*, *, 2, *, *, 580, 6874994.8, 30
*, *, 2, *, *, 520, 7882154.461538462, 26
*, *, 2, *, *, 200, 8412228.727272727, 33
*, *, 2, *, *, 170, 7871117.085106383, 47
*, *, 2, *, *, 810, 6696793.891891892, 37
*, *, 2, *, *, 750, 8143102.590909091, 44
*, *, 2, *, *, 400, 8126277.791666667, 24
*, *, 2, *, *, 370, 7409350.306122449, 49
*, *, 2, *, *, 310, 7753437.260869565, 46
*, *, 2, *, *, 790, 7489778.604651162, 43
*, *, 2, *, *, 150, 6417589.371428572, 35
*, *, 2, *, *, 890, 8268358.333333333, 36
*, *, 2, *, *, 190, 9431406.42857143, 28
*, *, 3, *, *, 770, 8316710.25, 40
*, *, 3, *, *, 420, 7371954.46875, 32
*, *, 3, *, *, 580, 8857735.255813954, 43
*, *, 3, *, *, 520, 6214023.611111111, 36
*, *, 3, *, *, 200, 7183247.285714285, 42
*, *, 3, *, *, 170, 7623591.102564103, 39
*, *, 3, *, *, 810, 6479785.833333333, 36
*, *, 3, *, *, 750, 8954234.804347826, 46
*, *, 3, *, *, 400, 7191420.828571429, 35
*, *, 3, *, *, 370, 7057912.315789473, 38
*, *, 3, *, *, 310, 8946272.24390244, 41
*, *, 3, *, *, 790, 6639300.7105263155, 38
*, *, 3, *, *, 150, 8527922.108108109, 37
*, *, 3, *, *, 890, 6363034.128205128, 39
*, *, 3, *, *, 190, 7915541.880952381, 42
*, *, 4, *, *, 770, 7640310.793103448, 29
*, *, 4, *, *, 420, 7690888.125, 40
*, *, 4, *, *, 580, 7464339.567567567, 37
*, *, 4, *, *, 520, 7373268.065217392, 46
*, *, 4, *, *, 200, 8482263.970588235, 34
*, *, 4, *, *, 170, 6101799.6875, 32
*, *, 4, *, *, 810, 6391966.7272727275, 33
*, *, 4, *, *, 750, 7886966.214285715, 28
*, *, 4, *, *, 400, 7897047.866666666, 45
*, *, 4, *, *, 370, 8737488.357142856, 28
*, *, 4, *, *, 310, 7968554.888888889, 27
*, *, 4, *, *, 790, 7137227.682926829, 41
*, *, 4, *, *, 150, 7518223.184210527, 38
*, *, 4, *, *, 890, 7375976.307692308, 39
*, *, 4, *, *, 190, 6208417.607142857, 28
*, *, 5, *, *, 770, 6367545.205882353, 34
*, *, 5, *, *, 420, 7792658.931818182, 44
*, *, 5, *, *, 580, 7020133.625, 32
*, *, 5, *, *, 520, 9359660.75862069, 29
*, *, 5, *, *, 200, 6633824.765957447, 47
*, *, 5, *, *, 170, 7243272.818181818, 44
*, *, 5, *, *, 810, 6543422.931818182, 44
*, *, 5, *, *, 750, 8394167.322580645, 31
*, *, 5, *, *, 400, 7695896.111111111, 36
*, *, 5, *, *, 370, 8388535.952380952, 42
*, *, 5, *, *, 310, 7254553.166666667, 42
*, *, 5, *, *, 790, 8666504.057142857, 35
*, *, 5, *, *, 150, 7710348.486486486, 37
*, *, 5, *, *, 890, 7382257.5, 30
*, *, 5, *, *, 190, 8263393.652173913, 46
*, *, 6, *, *, 770, 6689511.8367346935, 49
*, *, 6, *, *, 420, 7324908.0, 47
*, *, 6, *, *, 580, 6575409.29032258, 31
*, *, 6, *, *, 520, 6040472.692307692, 39
*, *, 6, *, *, 200, 8097278.942857143, 35
*, *, 6, *, *, 170, 7543077.714285715, 42
*, *, 6, *, *, 810, 8013417.114285714, 35
*, *, 6, *, *, 750, 7503706.325, 40
*, *, 6, *, *, 400, 8095834.7450980395, 51
*, *, 6, *, *, 370, 6129476.333333333, 42
*, *, 6, *, *, 310, 6764961.3, 40
*, *, 6, *, *, 790, 6717987.470588235, 34
*, *, 6, *, *, 150, 8383011.243902439, 41
*, *, 6, *, *, 890, 6938453.742857143, 35
*, *, 6, *, *, 190, 7416631.777777778, 36
*, *, 7, *, *, 770, 8232981.29032258, 31
*, *, 7, *, *, 420, 8388751.045454545, 44
*, *, 7, *, *, 580, 8215449.595744681, 47
*, *, 7, *, *, 520, 8037670.025, 40
*, *, 7, *, *, 200, 7054054.903225807, 31
*, *, 7, *, *, 170, 7423195.674418605, 43
*, *, 7, *, *, 810, 7497538.625, 24
*, *, 7, *, *, 750, 8256779.153846154, 39
*, *, 7, *, *, 400, 6738415.302325581, 43
*, *, 7, *, *, 370, 8058219.064516129, 31
*, *, 7, *, *, 310, 6245511.25, 32
*, *, 7, *, *, 790, 7739124.760869565, 46
*, *, 7, *, *, 150, 7951911.024390244, 41
*, *, 7, *, *, 890, 8169064.0227272725, 44
*, *, 7, *, *, 190, 6457822.925, 40
*, *, 8, *, *, 770, 7510444.567567567, 37
*, *, 8, *, *, 420, 7643682.454545454, 33
*, *, 8, *, *, 580, 6585524.076923077, 39
*, *, 8, *, *, 520, 7961647.195121951, 41
