
Zwide, Officeblock, *, *, *, *, 770, 9797259.42857143, 7
Zwide, Flat, *, *, *, *, 400, 7373963.928571428, 14
Zwide, Flat, *, *, *, *, 370, 1.0438086333333334E7, 9
Zwide, Flat, *, *, *, *, 310, 7292940.75, 12
Zwide, Flat, *, *, *, *, 790, 7791937.5, 14
Zwide, Flat, *, *, *, *, 150, 7372844.833333333, 24
Zwide, Flat, *, *, *, *, 890, 9612211.57142857, 14
Zwide, Flat, *, *, *, *, 190, 5506070.083333333, 12
Zwide, House, *, *, *, *, 770, 8043671.2, 15
Zwide, House, *, *, *, *, 420, 6304661.153846154, 13
Zwide, House, *, *, *, *, 580, 6712750.3, 10
Zwide, House, *, *, *, *, 520, 7951390.0, 11
Zwide, House, *, *, *, *, 200, 9443635.3, 10
Zwide, House, *, *, *, *, 810, 6952170.384615385, 13
Zwide, House, *, *, *, *, 750, 7157482.545454546, 11
Zwide, House, *, *, *, *, 400, 7145898.777777778, 18
Zwide, House, *, *, *, *, 370, 6880351.8, 15
Zwide, House, *, *, *, *, 310, 6190136.444444444, 9
Zwide, House, *, *, *, *, 790, 6849029.409090909, 22
Zwide, House, *, *, *, *, 150, 6531991.615384615, 13
Zwide, House, *, *, *, *, 890, 9274371.076923076, 13
Zwide, House, *, *, *, *, 190, 7006740.1875, 16
Humewood, Officeblock, *, *, *, *, 770, 5189309.357142857, 14
Humewood, Officeblock, *, *, *, *, 420, 8027942.0, 11
Humewood, Officeblock, *, *, *, *, 580, 8616833.111111112, 9
Humewood, Officeblock, *, *, *, *, 520, 9509709.285714285, 14
Humewood, Officeblock, *, *, *, *, 200, 7507934.4, 10
Humewood, Officeblock, *, *, *, *, 170, 8643886.727272727, 11
Humewood, Officeblock, *, *, *, *, 810, 6301832.333333333, 12
Humewood, Officeblock, *, *, *, *, 750, 9193653.5, 8
Humewood, Officeblock, *, *, *, *, 400, 5101272.428571428, 14
Humewood, Officeblock, *, *, *, *, 370, 9308129.357142856, 14
Humewood, Officeblock, *, *, *, *, 310, 6762309.888888889, 9
Humewood, Officeblock, *, *, *, *, 790, 5873175.125, 16
Humewood, Officeblock, *, *, *, *, 150, 6487574.352941177, 17
Humewood, Officeblock, *, *, *, *, 890, 6492747.8, 10
Humewood, Officeblock, *, *, *, *, 190, 7479598.5, 14
Humewood, Warehouse, *, *, *, *, 770, 8651805.266666668, 15
Humewood, Warehouse, *, *, *, *, 420, 8455996.5, 12
Humewood, Warehouse, *, *, *, *, 580, 7611438.153846154, 13
Humewood, Warehouse, *, *, *, *, 520, 5954190.153846154, 13
Humewood, Warehouse, *, *, *, *, 200, 5916263.083333333, 12
Humewood, Warehouse, *, *, *, *, 170, 6596615.95, 20
Humewood, Warehouse, *, *, *, *, 810, 8002328.090909091, 11
Humewood, Warehouse, *, *, *, *, 750, 8087308.230769231, 13
Humewood, Warehouse, *, *, *, *, 400, 6757665.583333333, 12
Humewood, Warehouse, *, *, *, *, 370, 6564626.1, 10
Humewood, Warehouse, *, *, *, *, 310, 7605674.214285715, 14
Humewood, Warehouse, *, *, *, *, 790, 1.039906375E7, 8
Humewood, Warehouse, *, *, *, *, 150, 9872066.533333333, 15
Humewood, Warehouse, *, *, *, *, 890, 9000850.692307692, 13
Humewood, Warehouse, *, *, *, *, 190, 5750708.588235294, 17
Humewood, Flat, *, *, *, *, 770, 8845700.9375, 16
Humewood, Flat, *, *, *, *, 420, 8184556.416666667, 12
Humewood, Flat, *, *, *, *, 580, 7286888.2, 10
Humewood, Flat, *, *, *, *, 520, 4150650.3636363638, 11
Humewood, Flat, *, *, *, *, 200, 7973176.736842105, 19
Humewood, Flat, *, *, *, *, 810, 4907413.416666667, 12
Humewood, Flat, *, *, *, *, 750, 8243246.384615385, 13
Humewood, Flat, *, *, *, *, 400, 8137944.578947368, 19
Humewood, Flat, *, *, *, *, 370, 6074643.875, 16
Humewood, Flat, *, *, *, *, 310, 7044779.333333333, 9
Humewood, Flat, *, *, *, *, 790, 6045314.166666667, 12
Humewood, Flat, *, *, *, *, 150, 6488201.230769231, 13
Humewood, Flat, *, *, *, *, 890, 8821544.357142856, 14
Humewood, Flat, *, *, *, *, 190, 7779017.363636363, 11
Humewood, House, *, *, *, *, 770, 8284095.428571428, 7
Humewood, House, *, *, *, *, 420, 8251919.066666666, 15
Humewood, House, *, *, *, *, 580, 7588270.428571428, 14
Humewood, House, *, *, *, *, 520, 8261300.416666667, 12
Humewood, House, *, *, *, *, 200, 8714211.266666668, 15
Humewood, House, *, *, *, *, 170, 9099932.166666666, 12
Humewood, House, *, *, *, *, 810, 5221788.875, 8
Humewood, House, *, *, *, *, 750, 8806752.545454545, 11
Humewood, House, *, *, *, *, 400, 5513490.6875, 16
Humewood, House, *, *, *, *, 370, 5141947.5, 12
Humewood, House, *, *, *, *, 310, 8555443.1, 10
Humewood, House, *, *, *, *, 790, 8229058.0, 14
Humewood, House, *, *, *, *, 150, 1.0772617666666666E7, 9
Humewood, House, *, *, *, *, 890, 6135343.8, 10
Humewood, House, *, *, *, *, 190, 9579256.6, 10
Walmer, Officeblock, *, *, *, *, 770, 7467832.142857143, 7
Walmer, Officeblock, *, *, *, *, 420, 6662738.142857143, 14
Walmer, Officeblock, *, *, *, *, 580, 7506297.0, 12
Walmer, Officeblock, *, *, *, *, 520, 8322101.4, 10
Walmer, Officeblock, *, *, *, *, 200, 7884637.65, 20
Walmer, Officeblock, *, *, *, *, 170, 7718764.222222222, 9
Walmer, Officeblock, *, *, *, *, 810, 6018111.5, 6
Walmer, Officeblock, *, *, *, *, 750, 6999358.3, 10
Walmer, Officeblock, *, *, *, *, 400, 7650688.2727272725, 11
Walmer, Officeblock, *, *, *, *, 370, 4919907.235294118, 17
Walmer, Officeblock, *, *, *, *, 310, 8237344.222222222, 18
Walmer, Officeblock, *, *, *, *, 790, 7933827.916666667, 12
Walmer, Officeblock, *, *, *, *, 150, 7726686.0, 7
Walmer, Officeblock, *, *, *, *, 890, 5987460.8, 15
Walmer, Officeblock, *, *, *, *, 190, 1.0093194333333334E7, 12
Walmer, Warehouse, *, *, *, *, 770, 7258132.7272727275, 11
Walmer, Warehouse, *, *, *, *, 420, 7286562.1875, 16
Walmer, Warehouse, *, *, *, *, 580, 8260358.304347826, 23
Walmer, Warehouse, *, *, *, *, 520, 5638866.2, 10
Walmer, Warehouse, *, *, *, *, 200, 6399647.75, 8
Walmer, Warehouse, *, *, *, *, 170, 6711668.1875, 16
Walmer, Warehouse, *, *, *, *, 810, 7905652.0, 20
Walmer, Warehouse, *, *, *, *, 750, 6637640.8, 15
Walmer, Warehouse, *, *, *, *, 400, 8478900.111111112, 9
Walmer, Warehouse, *, *, *, *, 370, 8758689.125, 8
Walmer, Warehouse, *, *, *, *, 310, 6108795.0, 14
Walmer, Warehouse, *, *, *, *, 790, 6070747.0, 10
Walmer, Warehouse, *, *, *, *, 150, 7622945.529411765, 17
Walmer, Warehouse, *, *, *, *, 890, 8373530.466666667, 15
Walmer, Warehouse, *, *, *, *, 190, 4923358.875, 8
Walmer, Flat, *, *, *, *, 770, 7231195.666666667, 9
Walmer, Flat, *, *, *, *, 420, 5876297.875, 8
Walmer, Flat, *, *, *, *, 580, 6219021.9, 10
Walmer, Flat, *, *, *, *, 520, 7116005.235294118, 17
Walmer, Flat, *, *, *, *, 200, 7791902.35, 20
Walmer, Flat, *, *, *, *, 170, 6321944.416666667, 12
Walmer, Flat, *, *, *, *, 810, 5940693.6, 15
Walmer, Flat, *, *, *, *, 750, 6940782.083333333, 12
Walmer, Flat, *, *, *, *, 400, 8263669.588235294, 17
Walmer, Flat, *, *, *, *, 370, 8031754.066666666, 15
Walmer, Flat, *, *, *, *, 310, 1.017548857142857E7, 7
Walmer, Flat, *, *, *, *, 790, 7585758.0, 12
Walmer, Flat, *, *, *, *, 150, 7197013.2, 15
Walmer, Flat, *, *, *, *, 890, 6194511.833333333, 18
Walmer, Flat, *, *, *, *, 190, 6951779.625, 8
Walmer, House, *, *, *, *, 770, 7243400.411764706, 17
Walmer, House, *, *, *, *, 420, 7505536.571428572, 14
Walmer, House, *, *, *, *, 580, 5230239.875, 8
Walmer, House, *, *, *, *, 520, 8403150.6, 10
Walmer, House, *, *, *, *, 200, 9494992.2, 10
Walmer, House, *, *, *, *, 170, 6532358.0, 15
Walmer, House, *, *, *, *, 810, 5820982.0, 6
Walmer, House, *, *, *, *, 750, 7846688.0, 7
Walmer, House, *, *, *, *, 400, 5774672.25, 12
Walmer, House, *, *, *, *, 370, 8650111.8, 10
Walmer, House, *, *, *, *, 310, 8808328.166666666, 18
Walmer, House, *, *, *, *, 790, 6640835.230769231, 13
Walmer, House, *, *, *, *, 150, 5693307.5, 14
Walmer, House, *, *, *, *, 890, 5724404.25, 8
Walmer, House, *, *, *, *, 190, 4043688.8333333335, 6
Central, Officeblock, *, *, *, *, 770, 7079790.590909091, 22
Central, Officeblock, *, *, *, *, 420, 6731972.933333334, 15
Central, Officeblock, *, *, *, *, 580, 6641640.545454546, 11
Central, Officeblock, *, *, *, *, 520, 8282664.714285715, 14
Central, Officeblock, *, *, *, *, 200, 6383325.266666667, 15
Central, Officeblock, *, *, *, *, 170, 6814272.25, 16
Central, Officeblock, *, *, *, *, 810, 7916437.5, 10
Central, Officeblock, *, *, *, *, 750, 7160721.090909091, 11
Central, Officeblock, *, *, *, *, 400, 7545739.0, 12
Central, Officeblock, *, *, *, *, 370, 6990581.166666667, 18
Central, Officeblock, *, *, *, *, 310, 8121951.142857143, 14
Central, Officeblock, *, *, *, *, 790, 8305204.714285715, 14
Central, Officeblock, *, *, *, *, 150, 6109723.125, 8
Central, Officeblock, *, *, *, *, 890, 7600124.75, 8
Central, Officeblock, *, *, *, *, 190, 8251906.266666667, 15
Central, Warehouse, *, *, *, *, 770, 4838647.3, 10
Central, Warehouse, *, *, *, *, 420, 7285490.529411765, 17
Central, Warehouse, *, *, *, *, 580, 7073951.625, 16
Central, Warehouse, *, *, *, *, 520, 7540575.384615385, 13
Central, Warehouse, *, *, *, *, 200, 7765371.944444444, 18
Central, Warehouse, *, *, *, *, 170, 7018498.142857143, 14
Central, Warehouse, *, *, *, *, 810, 9489292.214285715, 14
Central, Warehouse, *, *, *, *, 750, 8458033.2, 20
Central, Warehouse, *, *, *, *, 400, 7912187.461538462, 13
Central, Warehouse, *, *, *, *, 370, 6609138.133333334, 15
Central, Warehouse, *, *, *, *, 310, 8164326.785714285, 14
Central, Warehouse, *, *, *, *, 790, 5366820.5, 14
Central, Warehouse, *, *, *, *, 150, 7791530.083333333, 12
Central, Warehouse, *, *, *, *, 890, 7937192.94117647, 17
Central, Warehouse, *, *, *, *, 190, 7672452.176470588, 17
Central, Flat, *, *, *, *, 770, 7464049.083333333, 12
Central, Flat, *, *, *, *, 420, 8903536.285714285, 14
Central, Flat, *, *, *, *, 580, 7834068.166666667, 12
Central, Flat, *, *, *, *, 520, 8139408.142857143, 14
Central, Flat, *, *, *, *, 200, 5480238.714285715, 14
Central, Flat, *, *, *, *, 810, 8298040.2, 10
Central, Flat, *, *, *, *, 750, 8337750.9, 20
Central, Flat, *, *, *, *, 400, 6289496.461538462, 13
Central, Flat, *, *, *, *, 370, 6180401.5, 10
Central, Flat, *, *, *, *, 310, 7108081.9375, 16
Central, Flat, *, *, *, *, 790, 6705875.090909091, 11
Central, Flat, *, *, *, *, 150, 8799939.75, 12
Central, Flat, *, *, *, *, 890, 7635846.166666667, 18
Central, Flat, *, *, *, *, 190, 7480570.2, 15
Central, House, *, *, *, *, 770, 6843745.777777778, 9
Central, House, *, *, *, *, 420, 5351913.5, 10
Central, House, *, *, *, *, 580, 9576480.625, 8
Central, House, *, *, *, *, 520, 7779298.416666667, 12
Central, House, *, *, *, *, 200, 5871166.2, 10
Central, House, *, *, *, *, 170, 9168056.833333334, 18
Central, House, *, *, *, *, 810, 5620958.230769231, 13
Central, House, *, *, *, *, 750, 6837418.0, 16
Central, House, *, *, *, *, 400, 8650546.0, 10
Central, House, *, *, *, *, 370, 9963920.142857144, 7
Central, House, *, *, *, *, 310, 6108077.176470588, 17
Central, House, *, *, *, *, 790, 9391212.4, 15
Central, House, *, *, *, *, 150, 7401698.083333333, 12
Central, House, *, *, *, *, 890, 7791986.571428572, 14
Central, House, *, *, *, *, 190, 8227185.916666667, 12
Missionvale, Officeblock, *, *, *, *, 770, 7312263.777777778, 9
Missionvale, Officeblock, *, *, *, *, 420, 5694594.5, 10
Missionvale, Officeblock, *, *, *, *, 580, 3492894.6363636362, 11
Missionvale, Officeblock, *, *, *, *, 200, 8014954.3, 10
Missionvale, Officeblock, *, *, *, *, 170, 7917944.714285715, 14
Missionvale, Officeblock, *, *, *, *, 810, 7098928.3, 10
Missionvale, Officeblock, *, *, *, *, 750, 9133394.5, 10
Missionvale, Officeblock, *, *, *, *, 400, 8422272.733333332, 15
Missionvale, Officeblock, *, *, *, *, 370, 7541425.9, 20
Missionvale, Officeblock, *, *, *, *, 310, 7294847.636363637, 11
Missionvale, Officeblock, *, *, *, *, 790, 7225289.583333333, 12
Missionvale, Officeblock, *, *, *, *, 150, 7607102.0, 17
Missionvale, Officeblock, *, *, *, *, 890, 7585254.333333333, 6
Missionvale, Officeblock, *, *, *, *, 190, 9183310.714285715, 7
Missionvale, Warehouse, *, *, *, *, 770, 5503578.153846154, 13
Missionvale, Warehouse, *, *, *, *, 420, 7949408.7727272725, 22
Missionvale, Warehouse, *, *, *, *, 580, 7952490.916666667, 12
Missionvale, Warehouse, *, *, *, *, 520, 7755736.538461538, 13
Missionvale, Warehouse, *, *, *, *, 200, 6493791.888888889, 9
Missionvale, Warehouse, *, *, *, *, 170, 6989786.133333334, 15
Missionvale, Warehouse, *, *, *, *, 750, 9948404.5, 8
Missionvale, Warehouse, *, *, *, *, 400, 8053627.833333333, 12
Missionvale, Warehouse, *, *, *, *, 370, 6929108.785714285, 14
Missionvale, Warehouse, *, *, *, *, 310, 7691255.181818182, 11
Missionvale, Warehouse, *, *, *, *, 790, 5499484.6, 15
Missionvale, Warehouse, *, *, *, *, 150, 9821076.272727273, 11
Missionvale, Warehouse, *, *, *, *, 890, 6486642.0, 8
Missionvale, Warehouse, *, *, *, *, 190, 5735102.846153846, 13
Missionvale, Flat, *, *, *, *, 770, 6432246.142857143, 14
Missionvale, Flat, *, *, *, *, 420, 8395375.5, 14
Missionvale, Flat, *, *, *, *, 580, 8698144.090909092, 11
Missionvale, Flat, *, *, *, *, 520, 7391378.615384615, 13
Missionvale, Flat, *, *, *, *, 200, 8467054.1, 10
Missionvale, Flat, *, *, *, *, 170, 7761035.3125, 16
Missionvale, Flat, *, *, *, *, 810, 7004615.125, 8
Missionvale, Flat, *, *, *, *, 750, 7388377.466666667, 15
Missionvale, Flat, *, *, *, *, 400, 8213616.6, 15
Missionvale, Flat, *, *, *, *, 370, 8389194.444444444, 9
Missionvale, Flat, *, *, *, *, 310, 7579569.315789473, 19
Missionvale, Flat, *, *, *, *, 790, 7402559.2, 10
Missionvale, Flat, *, *, *, *, 150, 9365400.0, 8
Missionvale, Flat, *, *, *, *, 890, 8144787.5, 8
Missionvale, Flat, *, *, *, *, 190, 7142976.571428572, 14
Missionvale, House, *, *, *, *, 770, 6857165.529411765, 17
Missionvale, House, *, *, *, *, 420, 8278415.466666667, 15
Missionvale, House, *, *, *, *, 580, 7082738.75, 16
Missionvale, House, *, *, *, *, 520, 5599206.235294118, 17
Missionvale, House, *, *, *, *, 200, 5201959.875, 8
Missionvale, House, *, *, *, *, 170, 8266401.636363637, 11
Missionvale, House, *, *, *, *, 810, 7562846.833333333, 18
Missionvale, House, *, *, *, *, 750, 6647440.307692308, 13
Missionvale, House, *, *, *, *, 400, 9435833.0, 11
Missionvale, House, *, *, *, *, 370, 8054044.823529412, 17
Missionvale, House, *, *, *, *, 310, 6868148.142857143, 7
Missionvale, House, *, *, *, *, 790, 5906997.857142857, 14
Missionvale, House, *, *, *, *, 150, 7444192.2727272725, 11
Missionvale, House, *, *, *, *, 890, 5558659.090909091, 11
Missionvale, House, *, *, *, *, 190, 5232716.3125, 16
Summerstrand, Officeblock, *, *, *, *, 770, 7691592.166666667, 12
Summerstrand, Officeblock, *, *, *, *, 420, 7433887.090909091, 11
Summerstrand, Officeblock, *, *, *, *, 580, 6756214.8, 15
Summerstrand, Officeblock, *, *, *, *, 520, 7758229.0, 10
Summerstrand, Officeblock, *, *, *, *, 200, 6484140.9, 10
Summerstrand, Officeblock, *, *, *, *, 170, 7079950.277777778, 18
Summerstrand, Officeblock, *, *, *, *, 810, 7006585.111111111, 18
Summerstrand, Officeblock, *, *, *, *, 750, 7867148.666666667, 9
Summerstrand, Officeblock, *, *, *, *, 400, 8213176.368421053, 19
Summerstrand, Officeblock, *, *, *, *, 370, 6962113.333333333, 15
Summerstrand, Officeblock, *, *, *, *, 310, 6771993.266666667, 15
Summerstrand, Officeblock, *, *, *, *, 790, 6473819.333333333, 15
Summerstrand, Officeblock, *, *, *, *, 150, 7880515.8125, 16
Summerstrand, Officeblock, *, *, *, *, 890, 4977004.375, 8
Summerstrand, Officeblock, *, *, *, *, 190, 7308249.8, 10
Summerstrand, Warehouse, *, *, *, *, 770, 7983598.9, 10
Summerstrand, Warehouse, *, *, *, *, 420, 7804975.214285715, 14
Summerstrand, Warehouse, *, *, *, *, 580, 7803374.0, 11
Summerstrand, Warehouse, *, *, *, *, 520, 8742687.5, 8
Summerstrand, Warehouse, *, *, *, *, 200, 5042106.222222222, 9
Summerstrand, Warehouse, *, *, *, *, 170, 8103251.214285715, 14
Summerstrand, Warehouse, *, *, *, *, 810, 8243977.615384615, 13
Summerstrand, Warehouse, *, *, *, *, 750, 9969759.555555556, 9
Summerstrand, Warehouse, *, *, *, *, 400, 7154978.0, 10
Summerstrand, Warehouse, *, *, *, *, 370, 5800902.071428572, 14
Summerstrand, Warehouse, *, *, *, *, 310, 6354094.0, 14
Summerstrand, Warehouse, *, *, *, *, 790, 7609003.125, 8
Summerstrand, Warehouse, *, *, *, *, 150, 7465675.454545454, 11
Summerstrand, Warehouse, *, *, *, *, 890, 5894630.5, 14
Summerstrand, Warehouse, *, *, *, *, 190, 7030241.875, 16
Summerstrand, Flat, *, *, *, *, 770, 8960095.692307692, 13
Summerstrand, Flat, *, *, *, *, 420, 6006270.1, 10
Summerstrand, Flat, *, *, *, *, 580, 1.0078254083333334E7, 12
Summerstrand, Flat, *, *, *, *, 520, 8029178.777777778, 18
Summerstrand, Flat, *, *, *, *, 200, 4990468.333333333, 9
Summerstrand, Flat, *, *, *, *, 170, 7119471.642857143, 14
Summerstrand, Flat, *, *, *, *, 810, 7441836.142857143, 14
Summerstrand, Flat, *, *, *, *, 750, 8586079.80952381, 21
Summerstrand, Flat, *, *, *, *, 400, 5990920.0, 11
Summerstrand, Flat, *, *, *, *, 370, 8838797.818181818, 11
Summerstrand, Flat, *, *, *, *, 310, 6961556.285714285, 14
Summerstrand, Flat, *, *, *, *, 790, 7455706.555555556, 9
Summerstrand, Flat, *, *, *, *, 150, 9417001.181818182, 11
Summerstrand, Flat, *, *, *, *, 890, 6452403.5625, 16
Summerstrand, Flat, *, *, *, *, 190, 7990798.7, 10
Summerstrand, House, *, *, *, *, 770, 7311919.421052632, 19
Summerstrand, House, *, *, *, *, 420, 6874718.916666667, 12
Summerstrand, House, *, *, *, *, 580, 5930890.636363637, 11
Summerstrand, House, *, *, *, *, 200, 9055400.466666667, 15
Summerstrand, House, *, *, *, *, 170, 7789126.818181818, 11
Summerstrand, House, *, *, *, *, 810, 5776229.333333333, 15
Summerstrand, House, *, *, *, *, 750, 7371023.9375, 16
Summerstrand, House, *, *, *, *, 400, 9781902.42857143, 14
Summerstrand, House, *, *, *, *, 370, 7624330.647058823, 17
Summerstrand, House, *, *, *, *, 310, 7544343.5, 16
Summerstrand, House, *, *, *, *, 790, 7390025.2, 15
Summerstrand, House, *, *, *, *, 150, 7995831.5, 8
Summerstrand, House, *, *, *, *, 890, 1.0465715272727273E7, 11
Summerstrand, House, *, *, *, *, 190, 7724542.625, 16
Greater than threshold 353
Zwide, Officeblock, *, *, *, *, 770, 9797259.42857143, 7
Zwide, Officeblock, *, *, *, *, 420, 5411525.090909091, 11
Zwide, Officeblock, *, *, *, *, 580, 9059964.9, 10
Zwide, Officeblock, *, *, *, *, 520, 6294816.375, 16
Zwide, Officeblock, *, *, *, *, 200, 8648281.23076923, 13
Zwide, Officeblock, *, *, *, *, 170, 7765063.333333333, 12
Zwide, Officeblock, *, *, *, *, 810, 1.0671562375E7, 8
Zwide, Officeblock, *, *, *, *, 750, 7489800.0, 10
Zwide, Officeblock, *, *, *, *, 370, 7220118.2727272725, 11
Zwide, Officeblock, *, *, *, *, 310, 8051061.625, 8
Zwide, Officeblock, *, *, *, *, 790, 8588322.166666666, 12
Zwide, Officeblock, *, *, *, *, 150, 8366431.846153846, 13
Zwide, Officeblock, *, *, *, *, 890, 7038063.052631579, 19
Zwide, Officeblock, *, *, *, *, 190, 5517765.875, 8
Zwide, Warehouse, *, *, *, *, 770, 8748108.76923077, 13
Zwide, Warehouse, *, *, *, *, 420, 6734687.75, 8
Zwide, Warehouse, *, *, *, *, 580, 8251619.333333333, 15
Zwide, Warehouse, *, *, *, *, 520, 7889047.315789473, 19
Zwide, Warehouse, *, *, *, *, 200, 9310035.384615384, 13
Zwide, Warehouse, *, *, *, *, 170, 5670345.105263158, 19
Zwide, Warehouse, *, *, *, *, 810, 5749309.333333333, 12
Zwide, Warehouse, *, *, *, *, 750, 9647786.92857143, 14
Zwide, Warehouse, *, *, *, *, 400, 6571840.181818182, 11
Zwide, Warehouse, *, *, *, *, 370, 8480154.714285715, 14
Zwide, Warehouse, *, *, *, *, 310, 7562625.6875, 16
Zwide, Warehouse, *, *, *, *, 790, 7772762.307692308, 13
Zwide, Warehouse, *, *, *, *, 150, 5954850.0, 10
Zwide, Warehouse, *, *, *, *, 890, 8184199.181818182, 11
Zwide, Warehouse, *, *, *, *, 190, 7780695.5, 8
Zwide, Flat, *, *, *, *, 770, 6840602.538461538, 13
Zwide, Flat, *, *, *, *, 420, 1.0090730555555556E7, 9
Zwide, Flat, *, *, *, *, 580, 7588929.785714285, 14
Zwide, Flat, *, *, *, *, 520, 9740087.111111112, 9
Zwide, Flat, *, *, *, *, 200, 7269093.0, 18
Zwide, Flat, *, *, *, *, 170, 6454759.588235294, 17
Zwide, Flat, *, *, *, *, 810, 6951989.666666667, 12
Zwide, Flat, *, *, *, *, 750, 8658058.818181818, 11
Zwide, Flat, *, *, *, *, 400, 7373963.928571428, 14
Zwide, Flat, *, *, *, *, 370, 1.0438086333333334E7, 9
Zwide, Flat, *, *, *, *, 310, 7292940.75, 12
Zwide, Flat, *, *, *, *, 790, 7791937.5, 14
Zwide, Flat, *, *, *, *, 150, 7372844.833333333, 24
Zwide, Flat, *, *, *, *, 890, 9612211.57142857, 14
Zwide, Flat, *, *, *, *, 190, 5506070.083333333, 12
Zwide, House, *, *, *, *, 770, 8043671.2, 15
Zwide, House, *, *, *, *, 420, 6304661.153846154, 13
Zwide, House, *, *, *, *, 580, 6712750.3, 10
Zwide, House, *, *, *, *, 520, 7951390.0, 11
Zwide, House, *, *, *, *, 200, 9443635.3, 10
Zwide, House, *, *, *, *, 810, 6952170.384615385, 13
Zwide, House, *, *, *, *, 750, 7157482.545454546, 11
Zwide, House, *, *, *, *, 400, 7145898.777777778, 18
Zwide, House, *, *, *, *, 370, 6880351.8, 15
Zwide, House, *, *, *, *, 310, 6190136.444444444, 9
Zwide, House, *, *, *, *, 790, 6849029.409090909, 22
Zwide, House, *, *, *, *, 150, 6531991.615384615, 13
Zwide, House, *, *, *, *, 890, 9274371.076923076, 13
Zwide, House, *, *, *, *, 190, 7006740.1875, 16
Humewood, Officeblock, *, *, *, *, 770, 5189309.357142857, 14
Humewood, Officeblock, *, *, *, *, 420, 8027942.0, 11
Humewood, Officeblock, *, *, *, *, 580, 8616833.111111112, 9
Humewood, Officeblock, *, *, *, *, 520, 9509709.285714285, 14
Humewood, Officeblock, *, *, *, *, 200, 7507934.4, 10
Humewood, Officeblock, *, *, *, *, 170, 8643886.727272727, 11
Humewood, Officeblock, *, *, *, *, 810, 6301832.333333333, 12
Humewood, Officeblock, *, *, *, *, 750, 9193653.5, 8
Humewood, Officeblock, *, *, *, *, 400, 5101272.428571428, 14
Humewood, Officeblock, *, *, *, *, 370, 9308129.357142856, 14
Humewood, Officeblock, *, *, *, *, 310, 6762309.888888889, 9
Humewood, Officeblock, *, *, *, *, 790, 5873175.125, 16
Humewood, Officeblock, *, *, *, *, 150, 6487574.352941177, 17
Humewood, Officeblock, *, *, *, *, 890, 6492747.8, 10
Humewood, Officeblock, *, *, *, *, 190, 7479598.5, 14
Humewood, Warehouse, *, *, *, *, 770, 8651805.266666668, 15
Humewood, Warehouse, *, *, *, *, 420, 8455996.5, 12
Humewood, Warehouse, *, *, *, *, 580, 7611438.153846154, 13
Humewood, Warehouse, *, *, *, *, 520, 5954190.153846154, 13
Humewood, Warehouse, *, *, *, *, 200, 5916263.083333333, 12
Humewood, Warehouse, *, *, *, *, 170, 6596615.95, 20
Humewood, Warehouse, *, *, *, *, 810, 8002328.090909091, 11
Humewood, Warehouse, *, *, *, *, 750, 8087308.230769231, 13
