Suburb,Type,Rooms,Bathrooms,Parking,Area,Price
Humewood,Warehouse,8,0,4,310,9958411
Summerstrand,Warehouse,6,2,0,170,9958411
Humewood,Warehouse,3,2,1,520,2487172
Humewood,Officeblock,2,0,8,520,14209030
Central,Flat,4,2,8,370,5895760
Walmer,Officeblock,3,2,12,750,5546080
Humewood,Flat,3,3,1,580,14209030
Central,Warehouse,1,4,0,790,5375351
Zwide,Flat,7,3,6,150,14616757
Central,Flat,8,2,0,310,9901375
Central,Warehouse,2,3,12,310,5998301
Humewood,Flat,8,3,1,310,1017673
Walmer,House,5,0,12,200,7297505
Missionvale,Flat,4,0,1,150,9765837
Humewood,Officeblock,8,3,4,420,12224966
Humewood,Warehouse,5,1,8,810,9210932
Zwide,House,2,4,1,770,4523922
Missionvale,Officeblock,4,1,12,150,6983734
Central,House,8,1,12,750,8914381
Missionvale,Flat,5,4,2,310,1121120
Central,Officeblock,5,4,0,170,5895760
Zwide,Warehouse,6,2,0,170,6768476
Walmer,Flat,5,4,0,150,6279396
Walmer,Flat,3,3,4,520,6901260
Missionvale,Officeblock,7,1,1,580,11411931
Walmer,Warehouse,3,1,4,810,5867639
Missionvale,Officeblock,5,1,8,890,1948696
Humewood,Flat,6,3,1,420,12565096
Central,House,6,3,2,750,1676970
Walmer,Flat,4,4,2,150,13187314
Humewood,Warehouse,4,4,8,790,3534567
Zwide,Flat,1,2,1,750,12984574
Central,Warehouse,1,1,8,750,1368954
Zwide,Officeblock,8,0,4,170,12894158
Zwide,Officeblock,3,2,6,200,11313826
Humewood,Flat,2,3,2,370,3534567
Central,House,8,3,6,810,995322
Missionvale,Officeblock,2,2,6,310,6205169
Central,Officeblock,7,4,4,790,9678626
Summerstrand,Officeblock,2,3,4,170,12636521
Walmer,House,5,1,4,790,4523922
Zwide,Officeblock,4,0,0,520,6578638
Summerstrand,Officeblock,6,4,12,170,5148043
Zwide,Flat,6,2,2,150,5101883
Missionvale,Warehouse,6,3,2,770,8409405
Central,Officeblock,2,2,12,370,3542864
Humewood,House,1,4,12,810,3362446
Walmer,Officeblock,1,0,0,200,5895760
Humewood,Warehouse,1,2,2,750,7781809
Zwide,Officeblock,5,2,1,770,11411931
Walmer,Officeblock,7,4,2,580,12140193
Zwide,Warehouse,4,1,1,200,12347505
Zwide,Warehouse,7,3,8,420,4035927
Zwide,Officeblock,2,1,4,370,470149
Walmer,Flat,2,2,1,890,2297848
Missionvale,Flat,1,4,8,770,10424300
Central,Flat,3,4,8,770,1752850
Zwide,Flat,4,0,8,150,12648688
Missionvale,Warehouse,7,4,2,750,8087896
Missionvale,Warehouse,3,2,4,810,2238664
Central,Warehouse,6,3,2,370,5873308
Walmer,Flat,7,1,6,790,2449077
Walmer,Flat,3,1,8,170,1934400
Walmer,Flat,7,3,2,170,4133722
Summerstrand,Warehouse,8,4,2,420,13829438
Humewood,Flat,8,3,6,310,385879
Zwide,House,3,4,8,790,9626924
Zwide,Officeblock,5,3,1,170,218667
Central,Warehouse,6,3,0,810,13727629
Humewood,Officeblock,8,3,6,150,13880068
Central,Warehouse,1,1,0,400,23730
Central,Officeblock,3,1,6,400,9262913
Humewood,Officeblock,6,3,1,190,5937468
Central,Warehouse,6,1,12,420,5442607
Walmer,Officeblock,6,3,8,750,12546053
Summerstrand,Flat,6,3,6,580,9678626
Summerstrand,House,3,1,12,750,14430499
Humewood,Officeblock,8,3,12,200,9901375
Humewood,Flat,3,4,1,190,5630106
Central,Flat,5,4,4,420,7041471
Summerstrand,Officeblock,1,2,1,810,1819847
Zwide,Warehouse,8,0,6,810,4510711
Humewood,House,3,0,8,750,11875850
Summerstrand,Officeblock,7,4,4,890,3336605
Humewood,Warehouse,7,4,1,770,1570167
Zwide,House,7,0,0,790,14221469
Zwide,Officeblock,2,1,4,890,7580424
Zwide,Warehouse,5,2,4,750,6768476
Missionvale,Officeblock,2,3,6,750,1676970
Walmer,Officeblock,4,2,12,200,13187314
Missionvale,Officeblock,4,1,2,150,470149
Missionvale,Officeblock,5,1,0,150,9231781
Zwide,House,1,0,6,750,1571035
Summerstrand,Officeblock,4,2,12,420,9626924
Walmer,Warehouse,3,4,12,790,1977956
Summerstrand,Flat,5,4,8,150,6658610
Missionvale,Warehouse,1,2,6,790,1172295
Zwide,Flat,4,2,0,790,3662800
Zwide,Officeblock,2,1,0,790,2550410
Walmer,Warehouse,5,4,6,520,4056636
Central,Flat,2,0,1,150,1714999
Humewood,House,2,2,12,150,13594596
Walmer,Warehouse,2,2,12,580,9322790
Central,Flat,2,2,8,310,12235344
Humewood,Officeblock,3,4,1,890,5386074
Central,Officeblock,3,1,2,750,6945572
Walmer,Flat,2,3,1,400,4760818
Summerstrand,Flat,5,0,4,370,12648688
Summerstrand,Warehouse,5,3,6,170,13214868
Missionvale,Flat,1,3,2,400,12224966
Zwide,Warehouse,6,0,6,770,12175854
Missionvale,House,4,1,12,310,4821324
Missionvale,House,3,1,1,190,1513802
Missionvale,House,5,0,1,520,833939
Central,House,1,1,8,890,10719274
Humewood,Flat,7,4,12,150,14466302
Walmer,Officeblock,6,4,2,790,8258583
Summerstrand,House,3,2,1,400,14943123
Missionvale,Flat,3,0,2,200,5431442
Central,Flat,4,4,12,420,9322790
Walmer,Officeblock,5,1,2,890,218667
Summerstrand,Officeblock,8,1,12,150,4522580
Zwide,Warehouse,8,0,8,170,1934400
Zwide,Officeblock,7,0,0,890,1594447
Missionvale,Warehouse,8,0,6,400,13285002
Zwide,Flat,5,4,6,420,9434531
Walmer,Flat,6,0,12,520,5494835
Central,Flat,3,1,0,750,13756276
Humewood,Warehouse,5,2,4,190,2238664
Humewood,Officeblock,7,1,12,190,3542864
Zwide,Warehouse,6,3,2,810,1314500
Central,Officeblock,1,0,12,200,12235344
Zwide,Flat,1,4,0,790,5583257
Humewood,House,7,4,1,370,4510711
Summerstrand,House,3,0,6,190,1165679
Walmer,House,2,3,8,770,12643049
Humewood,Officeblock,8,2,8,150,13404796
Walmer,Flat,8,4,1,770,14773321
Zwide,House,2,0,12,750,5036322
Zwide,Warehouse,3,1,2,520,13810525
Summerstrand,Officeblock,8,3,8,810,13997172
Walmer,Warehouse,5,1,4,370,9608962
Missionvale,Officeblock,7,1,2,790,10088429
Humewood,Flat,3,1,1,420,7580424
Humewood,House,6,0,2,420,8772350
Summerstrand,House,8,4,12,370,13594596
Humewood,Warehouse,5,4,2,810,3999236
Zwide,Flat,7,0,8,420,12178899
Zwide,House,2,2,6,370,3304544
Missionvale,Officeblock,1,3,0,150,12054127
Zwide,House,1,1,12,750,8683415
Humewood,Flat,5,1,6,400,9895098
Humewood,Flat,8,2,2,200,1017673
Zwide,Officeblock,5,1,2,310,3999236
Missionvale,Flat,1,3,1,400,12648688
Walmer,Officeblock,3,0,4,190,14159453
Central,Flat,5,4,2,790,5998301
Central,House,6,2,1,770,14334532
Missionvale,Officeblock,3,2,8,770,14943123
Humewood,Warehouse,3,0,2,770,11045934
Central,Flat,1,3,2,170,4486168
Humewood,Officeblock,4,3,2,420,409303
Walmer,Officeblock,4,0,6,310,13782609
Central,Flat,3,1,0,810,1172295
Humewood,House,6,2,0,190,10004857
Central,Officeblock,7,3,2,370,10683028
Missionvale,Officeblock,2,0,6,770,9970288
Zwide,House,1,0,8,190,4821324
Central,Warehouse,5,1,6,750,955730
Missionvale,Officeblock,3,3,1,150,12770676
Zwide,Flat,5,2,6,370,8544359
Walmer,Flat,3,3,4,370,14430499
Missionvale,House,2,0,12,770,4375304
Walmer,House,6,3,8,750,8675906
Central,House,1,4,0,150,9209028
Zwide,Flat,1,1,0,150,14209030
Summerstrand,Flat,4,3,1,750,14334532
Humewood,Officeblock,7,2,12,750,9535470
Walmer,Officeblock,2,3,12,420,1864067
Missionvale,Warehouse,8,0,8,170,14513366
Walmer,Flat,5,2,4,400,9791627
Missionvale,House,6,0,0,370,427669
Summerstrand,Officeblock,7,1,6,790,9626924
Central,Warehouse,4,2,1,890,876507
Zwide,Flat,8,3,6,170,6060750
Summerstrand,House,4,3,12,420,9672810
Summerstrand,Officeblock,8,1,6,370,12984574
Zwide,Flat,7,3,12,170,12848666
Humewood,Warehouse,8,1,8,170,6223851
Central,Officeblock,5,4,6,190,4197490
Zwide,Flat,8,3,0,790,9678626
Summerstrand,Officeblock,7,2,12,790,5494835
Central,Warehouse,6,2,2,310,9626924
Humewood,Warehouse,7,1,2,580,4523922
Zwide,Flat,5,0,12,200,1977956
Zwide,Warehouse,8,2,6,790,5362349
Summerstrand,Flat,6,3,6,420,6061974
Walmer,Warehouse,4,1,2,200,5867639
Zwide,Warehouse,3,2,12,580,2487172
Missionvale,Flat,2,1,4,170,11558246
Zwide,Officeblock,7,2,0,370,5375351
Walmer,House,7,0,4,400,6205169
Summerstrand,Warehouse,5,4,4,420,3186669
Zwide,House,6,3,4,420,6106382
Walmer,House,7,3,6,400,3459695
Summerstrand,Officeblock,3,0,12,370,8725131
Walmer,Officeblock,2,2,1,890,8975659
Zwide,Officeblock,5,2,1,370,1165679
Summerstrand,House,1,2,8,370,9434531
Walmer,Flat,5,3,0,200,10451628
Walmer,Officeblock,3,1,8,750,3160830
Humewood,Flat,4,3,4,520,3160830
Zwide,Flat,7,3,2,520,12770676
Humewood,Flat,8,2,1,400,7964802
Summerstrand,Officeblock,5,1,1,580,4597325
Central,Flat,4,1,4,750,340045
Walmer,Officeblock,2,1,12,170,13321366
Summerstrand,Warehouse,4,1,1,190,10424300
Summerstrand,Officeblock,8,2,2,310,8313872
Zwide,Officeblock,6,0,12,750,3304544
Summerstrand,House,7,1,12,770,14467678
Summerstrand,Officeblock,8,3,8,420,1948696
Zwide,Warehouse,2,0,6,310,11313826
Walmer,Officeblock,7,1,12,200,5873308
Central,Warehouse,5,3,0,520,664475
Missionvale,House,8,1,0,790,11759020
Missionvale,House,4,2,2,580,6279396
Missionvale,Flat,6,2,0,370,11558246
Zwide,Flat,6,0,2,420,14467678
Zwide,Flat,5,1,12,790,823832
Summerstrand,Flat,4,1,4,190,876463
Central,Officeblock,2,1,4,790,8975659
Walmer,Warehouse,1,3,0,150,3336605
Missionvale,House,4,1,6,810,3304544
Central,Officeblock,2,0,6,790,10170801
Missionvale,Flat,6,3,8,170,14871310
Humewood,Officeblock,2,0,0,790,2734677
Central,Flat,3,4,2,190,5281168
Humewood,Flat,7,1,12,150,1228128
Humewood,House,3,1,4,810,4108109
Humewood,Flat,7,2,4,200,2426253
Missionvale,House,8,0,1,190,2372920
Humewood,Flat,4,0,0,810,11307153
Zwide,Officeblock,5,4,4,420,1594447
Central,Warehouse,2,2,1,370,9958411
Central,Flat,6,3,6,400,1574907
Central,House,3,2,1,750,1752850
Missionvale,Flat,2,3,4,580,11468278
Humewood,Officeblock,4,1,12,170,4197490
Central,Warehouse,4,3,1,750,10365230
Summerstrand,Officeblock,6,1,8,310,6768476
Zwide,Flat,8,4,8,150,1263839
Summerstrand,Flat,4,4,4,520,8908108
Humewood,Warehouse,8,0,12,190,3838037
Zwide,House,5,1,8,200,12461555
Central,Officeblock,2,4,4,810,10238692
Missionvale,House,7,2,8,580,385879
Humewood,Warehouse,7,3,8,580,3459695
Humewood,Warehouse,7,1,2,770,13594596
Humewood,Warehouse,4,2,1,400,2599534
Walmer,House,8,2,8,310,13703449
Zwide,Warehouse,5,2,8,770,3323037
Summerstrand,Flat,4,4,4,170,544110
Summerstrand,Warehouse,6,0,2,400,9209028
Missionvale,Officeblock,2,1,6,420,9895098
Central,Warehouse,4,1,12,190,1676970
Zwide,Warehouse,8,0,0,370,12060347
Summerstrand,Warehouse,2,2,4,750,13237728
Missionvale,Flat,5,0,8,790,4197490
Central,Flat,3,3,0,420,5851500
Zwide,Flat,2,1,8,790,11941003
Walmer,Warehouse,5,0,2,810,11411931
Summerstrand,Warehouse,6,0,4,190,12224966
Humewood,Warehouse,1,1,6,200,264225
Zwide,Officeblock,8,1,0,310,1465688
Walmer,Warehouse,6,1,4,580,12224966
Humewood,House,1,0,8,890,9626924
Humewood,Officeblock,1,2,8,770,1939471
Walmer,House,7,3,2,750,4176478
Summerstrand,Warehouse,2,4,4,810,14453432
Summerstrand,Officeblock,1,0,2,770,2297848
Humewood,House,3,1,2,750,11526721
Central,Warehouse,6,1,8,170,5873308
Zwide,Officeblock,8,3,1,580,11893276
Summerstrand,Officeblock,7,3,2,420,287456
Missionvale,Officeblock,7,1,4,810,9434531
Humewood,Flat,3,3,0,750,5036322
Central,Officeblock,1,4,8,190,13270557
Humewood,House,3,3,12,170,8474743
Summerstrand,Flat,7,4,2,190,10965063
Summerstrand,Warehouse,4,0,2,770,9958411
Missionvale,Flat,7,1,0,150,14768180
Central,House,8,3,12,190,5867639
Zwide,Flat,7,4,8,580,14466302
Zwide,Flat,3,4,8,170,11911693
Summerstrand,House,4,1,12,770,4375304
Zwide,Flat,2,1,2,580,4523922
Walmer,Flat,1,2,12,150,1368954
Missionvale,Warehouse,8,0,6,170,4972749
Summerstrand,Flat,6,2,4,150,14221469
Zwide,Warehouse,1,1,6,150,11682880
Humewood,Warehouse,4,0,4,370,13810525
Summerstrand,Warehouse,8,0,12,200,1121120
Humewood,House,8,4,1,790,1594447
Humewood,House,5,2,2,580,12636521
Missionvale,Warehouse,5,4,6,310,13727629
Humewood,Officeblock,4,2,0,400,2790216
Zwide,House,1,4,1,890,8725131
Walmer,Flat,2,0,6,890,12153519
Central,Flat,1,1,12,890,13781421
Walmer,House,8,3,1,190,4523922
Central,Flat,4,4,6,520,14513366
Missionvale,House,7,1,1,790,1309816
Summerstrand,Officeblock,3,4,4,580,13756276
Zwide,House,5,2,8,520,14773321
Summerstrand,Flat,3,0,8,150,4176478
Summerstrand,Flat,4,2,1,200,13810525
Central,House,5,4,4,170,5431442
Humewood,Officeblock,1,3,12,520,3542864
Missionvale,Flat,4,1,1,420,4002059
Zwide,House,6,3,0,790,1314500
Central,Officeblock,8,0,12,810,13339513
Summerstrand,House,1,1,2,750,8683415
Humewood,Officeblock,3,4,1,790,876463
Zwide,Flat,4,1,2,310,4696024
Summerstrand,Flat,2,0,4,310,10965063
Walmer,Officeblock,8,3,12,370,3302852
Humewood,Flat,1,2,0,890,3720419
Walmer,House,1,3,4,370,2633196
Missionvale,Warehouse,3,2,1,890,890613
Central,Warehouse,8,3,4,400,11705020
Central,Flat,4,1,6,890,11174742
Central,Officeblock,6,3,0,150,1644011
Summerstrand,House,4,4,12,310,6279396
Summerstrand,Officeblock,7,2,0,400,7511028
Summerstrand,House,6,2,2,200,12165340
Missionvale,Officeblock,6,3,0,150,4437316
Humewood,House,7,4,2,190,14032196
Walmer,Officeblock,4,1,1,890,1848307
Central,House,4,1,8,190,1644011
Summerstrand,Officeblock,5,3,8,520,9626924
Zwide,Flat,1,4,8,810,2428323
Walmer,Warehouse,8,1,12,580,9901375
Central,Officeblock,3,4,0,750,14714182
Walmer,Warehouse,5,1,12,750,6654895
Central,House,4,0,4,580,11729396
Missionvale,Warehouse,5,3,6,190,2389718
Walmer,Flat,1,3,12,890,8258583
Central,Officeblock,1,2,12,170,5054584
Humewood,Flat,1,4,6,580,9535470
Missionvale,Officeblock,3,1,2,310,11682880
Zwide,Warehouse,6,3,4,170,11875850
Walmer,Officeblock,2,1,2,190,10723180
Humewood,House,2,0,12,370,8975659
Central,House,3,4,4,420,5873308
Missionvale,House,5,1,0,150,6658610
Zwide,Flat,8,0,0,810,7964802
Missionvale,House,8,1,2,770,12060347
Zwide,Warehouse,5,4,2,770,12080809
Missionvale,Officeblock,5,0,4,200,5431442
Missionvale,Flat,2,0,12,770,6732810
Summerstrand,Officeblock,5,0,2,750,14209030
Missionvale,House,4,0,2,520,6831851
Missionvale,Flat,6,0,8,170,8572541
Walmer,Warehouse,4,1,2,810,5494835
Summerstrand,Flat,2,3,8,580,12643049
Summerstrand,House,5,1,0,750,1017673
Central,Warehouse,4,4,2,520,9672810
Missionvale,Flat,3,2,4,790,7781809
Central,Flat,2,0,6,750,2238664
Central,House,7,0,6,150,1400431
Walmer,House,7,1,6,420,3336605
Zwide,House,3,2,4,190,6217210
Central,Warehouse,3,1,4,790,3160830
Humewood,Warehouse,8,3,12,520,6658610
Walmer,House,6,4,2,150,11941003
Zwide,Flat,7,1,8,200,1752850
Zwide,Flat,2,1,8,170,6465192
Central,Warehouse,6,0,2,400,6377984
Missionvale,Flat,4,0,6,770,12636521
Walmer,Officeblock,3,2,8,580,14209030
Walmer,House,1,2,6,790,8087896
Humewood,Warehouse,6,0,4,890,11705020
Walmer,Flat,8,0,0,200,4510711
Humewood,Flat,5,4,6,790,12347505
Zwide,Flat,8,1,8,400,2993386
Central,Officeblock,2,1,4,190,14221469
Walmer,Warehouse,6,2,1,810,8544359
Missionvale,Officeblock,7,3,4,810,4637063
Walmer,Flat,1,4,12,520,6093746
Walmer,Warehouse,3,1,6,580,14032196
Humewood,Flat,5,0,6,310,3304544
Summerstrand,Officeblock,6,4,8,400,13021870
Missionvale,House,2,1,6,770,8296794
Missionvale,House,5,4,0,400,4056636
Central,Officeblock,2,2,0,310,1323745
Zwide,House,1,2,0,150,6831851
Humewood,House,3,3,2,200,5162411
Missionvale,Warehouse,7,3,1,520,14871310
Central,Officeblock,3,4,6,170,9895098
Central,Flat,3,3,0,770,9147088
Central,Flat,1,0,0,890,12835619
Central,Officeblock,7,4,1,370,11892977
Humewood,Officeblock,8,3,4,790,9832520
Walmer,Officeblock,5,0,12,420,10965063
Humewood,Flat,3,2,4,770,14943123
Zwide,House,7,0,12,310,13594596
Missionvale,Flat,3,0,4,170,12240246
Central,Officeblock,7,4,12,370,3304544
Missionvale,Flat,3,1,8,890,2389718
Summerstrand,Warehouse,3,1,0,790,1864067
Walmer,Warehouse,2,0,1,580,2459573
Central,House,5,0,6,790,6470426
Walmer,Officeblock,2,2,0,310,13187314
Central,Warehouse,2,1,2,750,10915666
Zwide,House,5,3,0,810,6578638
Missionvale,Officeblock,3,3,2,200,1711897
Missionvale,Warehouse,7,1,6,420,10221553
Humewood,Warehouse,2,0,4,170,12643049
Summerstrand,Flat,7,4,6,890,3336605
Missionvale,Warehouse,4,4,6,420,5583257
Walmer,Officeblock,2,4,2,200,12083907
Missionvale,Officeblock,7,4,8,810,12788186
Walmer,Officeblock,8,2,0,790,12688335
Summerstrand,Officeblock,3,4,2,200,2373128
Humewood,House,2,1,6,520,4317592
Summerstrand,Flat,1,3,0,190,1323745
Central,House,5,3,4,790,11370196
Walmer,House,1,1,6,890,4781296
Humewood,Warehouse,8,4,6,150,14183765
Summerstrand,Officeblock,1,4,4,170,287456
Summerstrand,Warehouse,4,2,1,520,2426253
Zwide,Officeblock,5,4,8,890,13829438
Zwide,Officeblock,2,3,0,580,2963559
Humewood,Warehouse,3,1,6,750,808506
Zwide,Flat,3,2,4,790,9210932
Walmer,Officeblock,1,0,0,420,2734677
Summerstrand,Flat,3,0,6,750,10052758
Walmer,Officeblock,1,0,0,790,5580729
Zwide,House,5,4,2,810,1121120
Walmer,House,1,1,8,310,2993386
Summerstrand,Flat,2,3,4,150,1314500
Zwide,Warehouse,5,1,2,310,13575148
Humewood,House,7,2,4,810,3754287
Summerstrand,Warehouse,2,3,6,890,2493630
Walmer,Officeblock,2,1,4,200,5998301
Humewood,House,8,0,0,400,5375351
Summerstrand,Warehouse,5,3,6,890,2297848
Missionvale,Flat,5,1,12,190,12555914
Humewood,House,1,3,2,370,4781296
Walmer,Officeblock,6,2,4,150,1819847
Central,Flat,2,0,2,790,4437316
Missionvale,Flat,8,4,12,770,4035927
Zwide,Warehouse,8,2,2,750,12555914
Zwide,Officeblock,2,2,6,370,14480305
Central,House,1,3,8,170,13829438
Missionvale,Flat,6,4,0,310,3131253
Central,Flat,1,2,4,150,3999236
Summerstrand,Officeblock,4,1,12,890,5281168
Walmer,Flat,5,3,2,580,7964802
Central,House,5,1,8,200,1864067
Walmer,Warehouse,5,1,8,520,7363977
Zwide,Officeblock,5,4,8,580,9723807
Humewood,Officeblock,8,3,2,750,13727629
Summerstrand,Flat,3,0,4,200,2222468
Humewood,House,3,4,6,890,906
Zwide,Officeblock,5,0,4,170,4821324
Summerstrand,Officeblock,3,4,1,370,12165340
Summerstrand,Officeblock,7,4,0,810,7666748
Zwide,Flat,8,2,0,770,11627150
Summerstrand,House,7,3,0,520,5492402
Central,Warehouse,2,2,12,770,4963004
Walmer,Flat,6,3,6,170,1513802
Missionvale,Flat,3,3,12,170,2550410
Summerstrand,House,4,3,6,170,5546080
Humewood,Officeblock,2,0,8,810,10965063
Summerstrand,Flat,2,3,0,370,8736917
Central,Officeblock,4,1,4,400,11152878
Zwide,Flat,6,3,6,400,906
Walmer,Warehouse,3,1,2,580,1405312
Missionvale,Warehouse,1,3,1,890,24919
Central,House,6,3,0,370,5937468
Missionvale,Warehouse,5,4,4,400,4522580
Missionvale,House,4,4,6,810,7862916
Summerstrand,House,7,0,6,190,5546080
Humewood,Warehouse,4,0,8,190,9649342
Summerstrand,Warehouse,6,0,1,400,5867639
Central,Officeblock,5,0,8,770,12405453
Walmer,Flat,7,4,6,150,10238838
Summerstrand,House,1,0,2,370,13404796
Humewood,Officeblock,5,4,6,200,3876219
Summerstrand,House,5,3,4,190,11759020
Zwide,Warehouse,4,3,8,200,2222468
Walmer,House,3,3,6,890,4961378
Missionvale,Flat,2,4,12,810,3534567
Central,Flat,1,1,2,200,4375304
Humewood,Flat,3,3,0,190,9209028
Missionvale,Flat,1,4,6,370,11893276
Zwide,House,1,2,1,310,7964802
Walmer,Warehouse,8,1,1,890,5683676
Walmer,Officeblock,3,1,12,810,24919
Summerstrand,Warehouse,4,2,4,310,9262913
Missionvale,Flat,4,1,1,420,11468278
Zwide,Officeblock,5,4,12,150,14467678
Missionvale,Officeblock,2,0,8,400,3754287
Missionvale,Flat,1,2,8,420,12347505
Humewood,Flat,4,0,8,190,14871310
Zwide,Warehouse,7,3,2,520,11911693
Summerstrand,Flat,4,1,12,200,12848666
Humewood,Flat,2,1,8,790,7152761
Zwide,Flat,7,2,0,750,5683676
Zwide,Officeblock,1,0,4,190,264225
Missionvale,Officeblock,5,2,6,150,2449077
Humewood,Flat,3,1,4,150,6901260
Summerstrand,Officeblock,8,1,1,170,4286469
Zwide,Officeblock,4,4,12,420,12770676
Zwide,Flat,2,3,12,170,3642864
Walmer,Warehouse,6,2,6,810,340045
Central,Flat,6,2,6,810,2487172
Missionvale,House,4,3,4,790,1263839
Zwide,House,8,2,2,310,4035927
Missionvale,Officeblock,8,0,6,400,3662800
Zwide,Officeblock,4,3,0,520,8225113
Zwide,Officeblock,2,4,0,770,12235344
Summerstrand,Officeblock,2,1,6,310,14616757
Humewood,Officeblock,4,2,1,400,1457995
Zwide,House,3,3,0,520,4542049
Missionvale,House,1,2,6,400,3754287
Summerstrand,Officeblock,5,3,4,200,2734677
Walmer,Officeblock,6,2,1,310,8296794
Zwide,Flat,7,1,1,890,8081297
Zwide,Flat,5,2,2,770,385879
Summerstrand,Officeblock,2,0,4,790,11227548
